Master Catalog,Identifier,Parent Identifier,Name US,URL keyword,Page title,Meta description,Facet Management,STORE,Short Description,Published
FALSE,Automation-Solutions,EMR_SALES_CATALOG,Automation Solutions,automation-solutions,Products - Automation Solutions | Emerson,Browse Emerson Automation Solutions products,Manufacturer|EMR Industry,EMR,,TRUE
FALSE,Fluid-Control-Pneumatics,Automation-Solutions,Fluid Control &amp; Pneumatics,fluid-control-pneumatics,Products - Fluid Control &amp; Pneumatics | Emerson,Browse Fluid Control &amp; Pneumatics Products,Manufacturer|EMR Application|EMR Industry,EMR,,TRUE
FALSE,12-15-HP,Commercial-Single-Stage-Compressors,12-15 HP,12-15-hp,,,EMR EER|EMR Application|EMR Refrigerant Type|EMR Capacity Range|EMR Hertz|EMR Voltage|EMR Platform|Manufacturer|EMR Industry|EMR Tandem Ready|EMR Sight Glass,CLIMATE,,TRUE
FALSE,2000X-Series-Benchtop-Systems,Ultrasonic-Plastic-Welding,2000X Series Benchtop Systems,2000x-series-benchtop-systems,Products - 2000X Series Benchtop Systems|Emerson,Browse 2000X Series Benchtop Systems products,Manufacturer|EMR Industry|EMR Segment|EMR Frequency|EMR Output Power,EMR,,TRUE
FALSE,20-25-HP,Commercial-Single-Stage-Compressors,20-25 HP,20-25-hp,,,EMR EER|EMR Application|EMR Refrigerant Type|EMR Capacity Range|EMR Hertz|EMR Voltage|EMR Platform|Manufacturer|EMR Industry|EMR Tandem Ready|EMR Sight Glass,CLIMATE,,TRUE
FALSE,2-3-Way-Commercial-Valves,General-Service-Valves,2 / 3-Way Commercial Valves,2-3-way-commercial-valves,Products - 2/3- Way Commercial Valves | Emerson,Browse 2/3- Way Commercial Valves ,Manufacturer|EMR Actuation|EMR Body Material|EMR Valve Function|EMR Media|EMR Pipe Port Size|EMR Flow Range Cv|EMR Max Operating Pressure Range|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
FALSE,2-5-HP,Commercial-Single-Stage-Compressors,2-5 HP,2-5-hp,,,EMR EER|EMR Application|EMR Refrigerant Type|EMR Capacity Range|EMR Hertz|EMR Voltage|EMR Platform|Manufacturer|EMR Industry|EMR Tandem Ready|EMR Sight Glass,CLIMATE,,TRUE
FALSE,2-Way2-Position,General-Service-Valves,2-Way / 2-Position,2-way-2-position,Products -  2-Way / 2-Position Valves | Emerson,Browse 2-Way / 2-Position Valves ,Manufacturer|EMR Actuation|EMR Body Material|EMR Valve Function|EMR Media|EMR Pipe Port Size|EMR Flow Range Cv|EMR Max Operating Pressure Range|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
FALSE,30-40-HP,Commercial-Single-Stage-Compressors,30-40 HP,30-40-hp,,,EMR EER|EMR Application|EMR Refrigerant Type|EMR Capacity Range|EMR Hertz|EMR Voltage|EMR Platform|Manufacturer|EMR Industry|EMR Tandem Ready|EMR Sight Glass,CLIMATE,,TRUE
FALSE,3-Way2-Position,General-Service-Valves,3-Way / 2-Position,3-way-2-position,Products -  3-Way / 2-Position Valves | Emerson,Browse 3-Way / 2-Position Valves ,Manufacturer|EMR Actuation|EMR Body Material|EMR Valve Function|EMR Media|EMR Pipe Port Size|EMR Flow Range Cv|EMR Max Operating Pressure Range|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
